source_parameter,first_order_or_implementation_relation,first_affected_quantity,production_or_simulation_step,observable_or_metric,identifiability_note
platform_velocity_error,"delta_v changes platform state, relative radial velocity and motion-compensation/P38 terms","platform position over time; v_rel; equivalent two-way delay; P38 slope","simulator/target_injection/radar_geometry.cpp:18-23; include/motion_comp.hpp; src/processOnePeriod.cpp:336-379","CTDR ridge; slow-time phase; P38 residual; localization error; Pd/Pfa","needs independent true/report velocity and target/geometry prior; current simulator does not provide that separation"
platform_position_error,"delta_p changes LOS, range and ground projection","range; look vector; phase-center position","include/motion_comp.hpp; simulator/common/SimulationGeometry.cpp","range-bin/azimuth bias; target migration; phase residual","can be confused with target position and geometry configuration"
roll_pitch_yaw,"attitude error rotates look vector and physical baseline/phase-center pose","beam direction; projected offsets; steering vector","simulator/common/SimulationGeometry.cpp:94-115; include/motion_comp.hpp; src/dbs/NewProtocolReader.cpp:74-139","six-pair phase; beam gain; STAP steering residual; target transfer","requires independent attitude truth/report and multi-angle or multi-pair redundancy"
beam_pointing_or_servo_error,"theta_true != theta_cmd changes sin(theta), LOS and beam gain","true look angle; baseline projection; beam response","simulator/target_injection/radar_geometry.cpp:48-49; src/mechanical_scan.cpp","phase-versus-angle slope; beam gain; target Pd/Pfa","single beam cannot separate pointing error from fixed phase or baseline error"
channel_delay_mismatch,"phase(f) approximately linear in frequency for a fractional delay","range-frequency phase; pulse-compressed alignment","simulator/target_injection/channel_impairments.cpp:184-206; scripts/estimate_channel_delay.py","互谱 slope; coherence; CSI residual","frequency support and sign convention must be recorded"
channel_fixed_phase_offset,"constant complex rotation on a selected channel","pair phase intercept","simulator/target_injection/channel_impairments.cpp:181-183; src/dbs/NewProtocolReader.cpp","mean pair phase; closure phase","confounded with baseline geometry at one angle"
channel_phase_drift,"phase changes with pulse_id or beam_id","slow-time channel phase","simulator/target_injection/channel_impairments.cpp:181-183; scripts/estimate_temporal_phase.py","phase increment; residual after correction; covariance coherence","must separate deterministic drift from stochastic clutter decorrelation"
channel_gain_mismatch,"complex amplitude scale differs by channel","pair amplitude and covariance weighting","simulator/target_injection/channel_impairments.cpp:158-174; src/dbs/NewProtocolReader.cpp","amplitude ratio; covariance condition; target gain","target amplitude and channel noise are nuisance factors"
clock_or_timing_mismatch,"sample_clock_error_ppm changes sample source index; time delay shifts sample axis","fast-time and slow-time coordinates","simulator/target_injection/channel_impairments.cpp:184-206","range/Doppler drift; frequency phase slope","joint fit with fixed delay is required"
baseline_geometry_error,"phi_pair(theta) approximately equals 2*pi*delta_d*sin(theta)/lambda + phi_fixed","angle-dependent spatial phase","simulator/target_injection/channel_impairments.cpp:176-183; src/dbs/NewProtocolReader.cpp:74-139","six-pair phase slopes; closure phases; CSI/STAP steering loss","multi-beam is required; pilot now applies the audited baseline phase to channels 2/4, while full independent geometry/attitude remains future work"
carrier_frequency_error,"delta_fc changes wavelength and waveform phase scale","wavelength; chirp/carrier phase; Doppler scale","simulator/stage2_statistical_sim/stage2_config.cpp:900-997; target_config.h","joint fast-time, spatial and Doppler residual","not currently injected; delay/clock can mimic part of the signature"
clutter_temporal_decorrelation,"rho<1 changes clutter innovation rather than applying a deterministic channel rotation","slow-time covariance and coherence","simulator/stage2_statistical_sim/stage2_temporal_clutter.cpp:43-52","coherence; covariance stability; STAP/CSI suppression","nuisance/environment mechanism; phase correction alone cannot restore unseen innovations"
