experiment,background_generation_mode,target_beam_layout,background_beam_layout,phase_reuse_bug_affected,H0_gate_semantics_changed,need_rerun,rerun_status,rerun_output,reason,evidence
csi_target_preserve_20260909/strong_in_support,D single-beam target + full-scan background,"period_count=1; beam_start=15; beam_count=1","period_count=1; beam_start=1; beam_count=30",yes,yes,no,completed,outputs/phase_a_reuse_source_equivalent,"旧实现按 source offset=0 复制 theta=-29 deg 到 beam15 target；已用 physical-theta source packet=1792/-1 deg 完成 corrected source-equivalent rerun。",source outputs/csi_target_preserve_20260909/working/stage2/strong_in_support; corrected outputs/phase_a_reuse_source_equivalent/phase_audit/phase_input_audit.json
csi_target_preserve_20260909/multi_beam_period_regression,D single-beam target + full-scan background,"period_count=3; beams=14..16","period_count=3; beam_count=30",yes,yes,no,completed,outputs/phase_a_reuse_14_16_3period,"三波位三周期均经过全扫描背景复用，已完成 corrected 9-group rerun；旧顺序读取会把 beam14/15/16 映射到错误物理 theta。",source outputs/csi_phase_fix_20260909/multi_beam_period_regression; corrected outputs/phase_a_reuse_14_16_3period/reports/background_reuse_mapping.csv
V2.1 screen,A paired C+N plus B independent background cases,C single beam (base beam31),C single beam (same beam layout),no,yes,conditional,"90 cases 的生成器只使用 paired_background_output_dir 或同配置独立单波位背景；没有 background_input_dir 全扫描复用。旧 Current 未包含新的 rho<0.5 H0 bypass。",outputs/ai_csi_baseline_v21_final_screen/baseline_v2_manifest.json and configs/research/ai_csi_baseline_v2_suite.json
V2.1 formal,A paired C+N plus B independent background cases,C single beam (base beam31),C single beam (same beam layout),no,yes,conditional,"470 cases 没有全扫描 background reuse；历史 Current 仍是无 H0 gate 的 NumPy replay。",outputs/ai_csi_baseline_v21_formal/baseline_v2_manifest.json
V2.1 velocity,A paired C+N plus B independent background cases,C single beam (base beam31),C single beam (same beam layout),no,yes,conditional,"物理速度 sweep 重新生成同波位背景，不进入 full-scan source mapping。",outputs/ai_csi_baseline_v21_final_velocity/baseline_v2_manifest.json
V2.1 ROC,A paired C+N plus B independent background cases,C single beam (base beam31),C single beam (same beam layout),no,yes,conditional,"ROC 只改变检测阈值并重新生成单波位 target/background；无 beam reuse。",outputs/ai_csi_baseline_v21_final_roc/baseline_v2_manifest.json
V2.1 transition,A paired C+N plus B independent background cases,C single beam (base beam31),C single beam (same beam layout),no,yes,conditional,"transition sweep 的目标/背景布局相同，未读取完整扫描背景。",outputs/ai_csi_baseline_v21_transition/baseline_v2_manifest.json
V2.1 mixed stress,A paired C+N plus B independent background cases,C single beam (base beam31),C single beam (same beam layout),no,yes,conditional,"mixed stress 的 impairment cases 使用独立同布局背景；复杂度不等于 beam reuse。",outputs/ai_csi_baseline_v21_mixed_stress/baseline_v2_manifest.json
Oracle V1,A paired C+N when impairment-free; B independent otherwise,C single beam,C single beam,no,yes,conditional,"Oracle 输入由同一 base_config 生成，paired/independent 都是单波位；可保留为旧 Oracle，若标 Current 必须重新套用 gate。",outputs/pgrcc_oracle/oracle_audit_manifest.json and configs/research/pgrcc_oracle_audit.json
Oracle V1.1,A paired C+N when impairment-free; B independent otherwise,C single beam,C single beam,no,yes,conditional,"V1.1 仍未使用 full-scan background_input_dir；其 bounded Oracle 结论不因 Phase A mapping 改变，但 Current 对照需注明旧 gate 语义。",outputs/pgrcc_oracle_v11/oracle_v11_manifest.json and configs/research/pgrcc_oracle_v11.json
Support Routing,A paired C+N when impairment-free; B independent otherwise,C single beam,C single beam,no,yes,conditional,"routing cases 沿用单波位 base config；保留为 legacy support audit，不直接作为 phase-corrected Current。",outputs/support_routing_oracle/support_routing_manifest.json and configs/research/support_routing_oracle.json
mc_minpoints_scnr_20260905/formal,C single-beam background only,C single beam,C single beam,no,not_applicable,no,"这是 Stage2 minpoints source/reference，不是 full-scan reuse；其数值只能作为 source reference，不能直接写成 PGRCC 新 Current 结果。",source outputs/mc_minpoints_scnr_20260905/formal/*/stage2/scenario_resolved.json
mc_minpoints_scnr_20260909/formal_gate,C single-beam background only,C single beam,C single beam,no,not_applicable,no,"gate batch 本身仍是单波位 Stage2 输入；H0 gate 的处理语义在 PGRCC 生产 Current 中另行验证。",source outputs/mc_minpoints_scnr_20260909/formal_gate/*/stage2/scenario_resolved.json
